Time          F_x          F_y          F_z
1.1100e+00  4.2707e+01  9.2139e+00  0.0000e+00
1.1150e+00  4.2283e+01  -5.1453e+00  0.0000e+00
1.1200e+00  4.2590e+01  5.8188e+00  0.0000e+00
1.1250e+00  4.2434e+01  2.7667e+00  0.0000e+00
1.1300e+00  4.2283e+01  -5.2233e+00  0.0000e+00
1.1350e+00  4.2834e+01  1.3041e+01  0.0000e+00
1.1400e+00  4.2057e+01  -1.1820e+01  0.0000e+00
1.1450e+00  4.2919e+01  1.3804e+01  0.0000e+00
1.1500e+00  4.2237e+01  -7.0846e+00  0.0000e+00
1.1550e+00  4.2657e+01  4.8335e+00  0.0000e+00
1.1600e+00  4.2538e+01  2.5917e+00  0.0000e+00
1.1650e+00  4.2277e+01  -2.7724e+00  0.0000e+00
1.1700e+00  4.2663e+01  5.5098e+00  0.0000e+00
1.1750e+00  4.2270e+01  -7.5560e-01  0.0000e+00
1.1800e+00  4.2479e+01  -8.3219e-01  0.0000e+00
1.1850e+00  4.2492e+01  6.9310e+00  0.0000e+00
1.1900e+00  4.2179e+01  -7.1606e+00  0.0000e+00
1.1950e+00  4.2595e+01  9.1819e+00  0.0000e+00
1.2000e+00  4.2172e+01  -4.6979e+00  0.0000e+00
1.2050e+00  4.2398e+01  1.7233e+00  0.0000e+00
1.2100e+00  4.2468e+01  5.3008e+00  0.0000e+00
1.2150e+00  4.2051e+01  -8.2459e+00  0.0000e+00
1.2200e+00  4.2751e+01  1.1963e+01  0.0000e+00
1.2250e+00  4.2132e+01  -9.9854e+00  0.0000e+00
1.2300e+00  4.2775e+01  8.1192e+00  0.0000e+00
1.2350e+00  4.2281e+01  -2.8922e+00  0.0000e+00
1.2400e+00  4.2387e+01  -1.3395e-01  0.0000e+00
1.2450e+00  4.2541e+01  3.2617e+00  0.0000e+00
1.2500e+00  4.2291e+01  -2.3518e+00  0.0000e+00
1.2550e+00  4.2518e+01  6.8087e-01  0.0000e+00
1.2600e+00  4.2536e+01  3.9035e+00  0.0000e+00
1.2650e+00  4.2293e+01  -7.1200e+00  0.0000e+00
1.2700e+00  4.2783e+01  1.0251e+01  0.0000e+00
1.2750e+00  4.2135e+01  -9.9820e+00  0.0000e+00
1.2800e+00  4.2734e+01  7.7999e+00  0.0000e+00
