Time          F_x          F_y          F_z
2.5300e+00  1.5575e+00  -1.2365e+00  0.0000e+00
2.5400e+00  1.4843e+00  -6.9603e-01  0.0000e+00
2.5500e+00  1.4446e+00  -1.2844e-01  0.0000e+00
2.5600e+00  1.4460e+00  4.0523e-01  0.0000e+00
2.5700e+00  1.4692e+00  9.4548e-01  0.0000e+00
2.5800e+00  1.4944e+00  1.4598e+00  0.0000e+00
2.5900e+00  1.5040e+00  1.8512e+00  0.0000e+00
2.6000e+00  1.5013e+00  1.9546e+00  0.0000e+00
2.6100e+00  1.5143e+00  1.6806e+00  0.0000e+00
2.6200e+00  1.5788e+00  1.0378e+00  0.0000e+00
2.6300e+00  1.6877e+00  3.0847e-01  0.0000e+00
2.6400e+00  1.7316e+00  -1.0520e-01  0.0000e+00
2.6500e+00  1.6828e+00  -1.3221e-01  0.0000e+00
2.6600e+00  1.5995e+00  1.8707e-01  0.0000e+00
2.6700e+00  1.5302e+00  6.0918e-01  0.0000e+00
2.6800e+00  1.4890e+00  9.7730e-01  0.0000e+00
2.6900e+00  1.4850e+00  1.3452e+00  0.0000e+00
2.7000e+00  1.5327e+00  1.9368e+00  0.0000e+00
2.7100e+00  1.6638e+00  2.8219e+00  0.0000e+00
2.7200e+00  1.8650e+00  3.7688e+00  0.0000e+00
2.7300e+00  2.0187e+00  4.2612e+00  0.0000e+00
2.7400e+00  2.0127e+00  4.0187e+00  0.0000e+00
2.7500e+00  1.8986e+00  3.2870e+00  0.0000e+00
2.7600e+00  1.7688e+00  2.5034e+00  0.0000e+00
2.7700e+00  1.6654e+00  1.8452e+00  0.0000e+00
2.7800e+00  1.5921e+00  1.2048e+00  0.0000e+00
2.7900e+00  1.5527e+00  4.6861e-01  0.0000e+00
2.8000e+00  1.5548e+00  -3.7260e-01  0.0000e+00
2.8100e+00  1.5800e+00  -1.0752e+00  0.0000e+00
2.8200e+00  1.5872e+00  -1.4445e+00  0.0000e+00
2.8300e+00  1.5405e+00  -1.3390e+00  0.0000e+00
